resume: 146 m5 classes, 4 m6 classes, 4 already lifted to m7, 0 queued
2026-09-25T10:15:09Z t=16.50h | m5: 994 classes (101521 anneal hits, 63457272615 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1608 restarts, 2987583647 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 14978726387 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T10:45:09Z t=17.00h | m5: 1006 classes (104989 anneal hits, 65642281099 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1664 restarts, 3091619484 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 15499274713 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T11:15:09Z t=17.50h | m5: 1022 classes (108571 anneal hits, 67826120240 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1719 restarts, 3193949829 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 16018431973 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T11:45:09Z t=18.00h | m5: 1037 classes (112164 anneal hits, 70007559322 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1775 restarts, 3297850530 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 16537092009 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T12:15:09Z t=18.50h | m5: 1046 classes (115614 anneal hits, 72192636763 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1831 restarts, 3401897295 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 17056406067 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T12:45:09Z t=19.00h | m5: 1057 classes (119063 anneal hits, 74375546231 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1887 restarts, 3505905102 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 17574691930 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T13:15:09Z t=19.50h | m5: 1069 classes (122602 anneal hits, 76552299987 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1942 restarts, 3608082596 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 18093307923 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T13:45:09Z t=20.00h | m5: 1078 classes (126031 anneal hits, 78612868595 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1994 restarts, 3704814372 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 18579269778 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T14:15:09Z t=20.50h | m5: 1091 classes (129637 anneal hits, 80795472267 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2048 restarts, 3805037373 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 19080600569 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T14:45:09Z t=21.00h | m5: 1101 classes (132668 anneal hits, 82730103293 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2096 restarts, 3894135447 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 19533672914 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T15:15:09Z t=21.50h | m5: 1107 classes (135428 anneal hits, 84507797827 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2140 restarts, 3975910490 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 19950204834 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T15:45:09Z t=22.00h | m5: 1119 classes (138241 anneal hits, 86364222722 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2186 restarts, 4061328907 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 20378823868 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
